data;mes;lancamento;categoria;tipo; valor ;fonte;conta_final; pilar_tribalance
2025-09-01;SETEMBRO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 977,90 ;Inter;Corrente;ESSENCIAIS
2025-07-01;JULHO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 455,33 ;Inter;Corrente;ESSENCIAIS
2025-10-07;NOVEMBRO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 421,38 ;Inter;Corrente;ESSENCIAIS
2025-10-01;OUTUBRO;ASSAI ATACADISTA LJ77  JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 387,25 ;Inter;Corrente;ESSENCIAIS
2025-05-01;MAIO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 383,71 ;Inter;Corrente;ESSENCIAIS
2025-09-01;SETEMBRO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 382,60 ;Inter;Corrente;ESSENCIAIS
2025-02-01;FEVEREIRO;CARREFOUR JPB 466      JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 361,28 ;Inter;Corrente;ESSENCIAIS
2025-01-01;JANEIRO;CARREFOUR JPB 466      JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 361,28 ;Inter;Corrente;ESSENCIAIS
2025-09-01;SETEMBRO;CASA    DO BOLO        JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 340,00 ;Inter;Corrente;ESSENCIAIS
2025-02-01;FEVEREIRO;REDE DA ECONOMIA       JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 305,23 ;Inter;Corrente;ESSENCIAIS
2025-01-01;JANEIRO;REDE DA ECONOMIA       JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 305,23 ;Inter;Corrente;ESSENCIAIS
2025-06-01;JUNHO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 290,21 ;Inter;Corrente;ESSENCIAIS
2025-08-01;AGOSTO;Nilvanmasciel          JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 250,00 ;Inter;Corrente;ESSENCIAIS
2025-08-01;AGOSTO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 247,15 ;Inter;Corrente;ESSENCIAIS
2025-10-01;OUTUBRO;MsaHospitalar          JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 223,50 ;Inter;Corrente;ESSENCIAIS
2025-03-01;MARÇO;MENOR PRECO            JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 223,11 ;Inter;Corrente;ESSENCIAIS
2025-06-01;JUNHO;SUPERMERCADO BEM MAIS;ALIMENTAÇÃO;DESPESA;-R$ 213,99 ;Santander;Corrente;ESSENCIAIS
2025-05-01;MAIO;SUPERMERCADO BEM MAIS;ALIMENTAÇÃO;DESPESA;-R$ 213,99 ;Santander;Corrente;ESSENCIAIS
2025-10-17;NOVEMBRO;NAVEGANTES BAR E PETI  JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 185,24 ;Inter;Corrente;ESSENCIAIS
2025-02-01;FEVEREIRO;RC COM DE ALIMENTOS    JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 181,23 ;Inter;Corrente;ESSENCIAIS
2025-01-01;JANEIRO;RC COM DE ALIMENTOS    JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 181,23 ;Inter;Corrente;ESSENCIAIS
2025-02-01;FEVEREIRO;SUPERMERCADO MANAIRA   JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 163,44 ;Inter;Corrente;ESSENCIAIS
2025-01-01;JANEIRO;SUPERMERCADO MANAIRA   JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 163,44 ;Inter;Corrente;ESSENCIAIS
2025-06-01;JUNHO;ASSAI ATACADISTA LJ300 JOAO PESSOA   BRA;ALIMENTAÇÃO;DESPESA;-R$ 160,97 ;Inter;Corrente;ESSENCIAIS
